city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Mazatlán,Mazatlan,23.2167,-106.4167,Mexico,MX,MEX,Sinaloa,minor,501441.0,1484841466,North America
Harrisburg,Harrisburg,40.2752,-76.8843,United States,US,USA,Pennsylvania,admin,499494.0,1840001288,North America
Staten Island,Staten Island,40.5834,-74.1496,United States,US,USA,New York,,495747.0,1840034032,North America
Toledo,Toledo,41.6638,-83.5827,United States,US,USA,Ohio,,492076.0,1840000572,North America
Ciudad López Mateos,Ciudad Lopez Mateos,19.55,-99.2833,Mexico,MX,MEX,México,minor,489937.0,1484363879,North America
Brookhaven,Brookhaven,40.832,-72.9517,United States,US,USA,New York,,487817.0,1840057464,North America
Worcester,Worcester,42.2705,-71.8079,United States,US,USA,Massachusetts,,487014.0,1840000434,North America
Port St. Lucie,Port St. Lucie,27.2796,-80.3884,United States,US,USA,Florida,,473733.0,1840015119,North America
Little Rock,Little Rock,34.7256,-92.3577,United States,US,USA,Arkansas,admin,467846.0,1840015509,North America
Madison,Madison,43.0822,-89.393,United States,US,USA,Wisconsin,admin,460255.0,1840002915,North America
Spokane,Spokane,47.6671,-117.433,United States,US,USA,Washington,,458988.0,1840021093,North America
Long Beach,Long Beach,33.7977,-118.167,United States,US,USA,California,,458491.0,1840020490,North America
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,São Paulo,admin,23086000.0,1076532519,South America
Buenos Aires,Buenos Aires,-34.6036,-58.3814,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16710000.0,1032717330,South America
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,Brazil,BR,BRA,Rio de Janeiro,admin,12592000.0,1076887657,South America
Bogotá,Bogota,4.7111,-74.0722,Colombia,CO,COL,Bogotá,primary,8034649.0,1170483426,South America
Belo Horizonte,Belo Horizonte,-19.9281,-43.9419,Brazil,BR,BRA,Minas Gerais,admin,5328000.0,1076967355,South America
Fortaleza,Fortaleza,-3.7275,-38.5275,Brazil,BR,BRA,Ceará,admin,4167996.0,1076567885,South America
Cali,Cali,3.4206,-76.5222,Colombia,CO,COL,Valle del Cauca,admin,2838333.0,1170417589,South America
Medellín,Medellin,6.2308,-75.5906,Colombia,CO,COL,Antioquia,admin,2529403.0,1170680389,South America
Salvador,Salvador,-12.9831,-38.4928,Brazil,BR,BRA,Bahia,admin,2417678.0,1076923789,South America
Córdoba,Cordoba,-31.4167,-64.1833,Argentina,AR,ARG,Córdoba,admin,2106734.0,1032803249,South America
Curitiba,Curitiba,-25.4297,-49.2719,Brazil,BR,BRA,Paraná,admin,1773718.0,1076701712,South America
